time,value
1933.91666666667,-0.66333
1934,-0.70422
1934.08333333333,-0.00433
1934.16666666667,0.60089
1934.25,0.36456
1934.33333333333,0.29633
1934.41666666667,0.02167
1934.5,0.29289
1934.58333333333,0.99833
1934.66666666667,2.19478
1934.75,2.68711
1934.83333333333,3.02311
1934.91666666667,2.54667
1935,1.41578
1935.08333333333,0.84567
1935.16666666667,0.72089
1935.25,0.43456
1935.33333333333,0.00633
1935.41666666667,0.09167
1935.5,-0.09711
1935.58333333333,-0.24167
1935.66666666667,-0.18522
1935.75,-0.77289
1935.83333333333,-1.82689
1935.91666666667,-0.48333
1936,-0.54422
1936.08333333333,-0.06433
1936.16666666667,-0.25911
1936.25,-0.19544
